6,Go-To Joints,Black Duck Cafe,Westport,Connecticut,Black-Duck-Cafe-Westport
6,Go-To Joints,Otto’s Sausage Kitchen and Meat Market,Portland,Oregon,Otto’s-Sausage-Kitchen-and-Meat-Market-Portland
6,Go-To Joints,Sol Food Puerto Rican Cuisine,San Rafael,California,Sol-Food-Puerto-Rican-Cuisine-San-Rafael
6,Homestyle,Giuseppe’s Restaurant,Phoenix,Arizona,Giuseppe’s-Restaurant-Phoenix
6,Homestyle,Southern Kitchen Restaurant,Tacoma,Washington,Southern-Kitchen-Restaurant-Tacoma
6,Homestyle,Zia Diner and Angel Food Catering,Santa Fe,New Mexico,Zia-Diner-and-Angel-Food-Catering-Santa-Fe
6,All Kinds of Classics,Blue Marlin Fish House Restaurant,North Miami Beach,Florida,Blue-Marlin-Fish-House-Restaurant-North-Miami-Beach
6,All Kinds of Classics,Fred’s Texas Cafe,Fort Worth,Texas,Fred’s-Texas-Cafe-Fort-Worth
6,All Kinds of Classics,Pine State Biscuits,Portland,Oregon,Pine-State-Biscuits-Portland
6,All Over The Map,Georgia Greek Restaurant and Deli,Seattle,Washington,Georgia-Greek-Restaurant-and-Deli-Seattle
6,All Over The Map,Los Tacquitos Grill,Phoenix,Arizona,Los-Tacquitos-Grill-Phoenix
6,All Over The Map,Rocco’s Cafe,San Francisco,California,Rocco’s-Cafe-San-Francisco
6,Old Time Favorites,Blueplate Lunch Counter and Soda Fountain,Portland,Oregon,Blueplate-Lunch-Counter-and-Soda-Fountain-Portland
6,Old Time Favorites,Don’s Hilltop Kodiak Grill,Boise,Idaho,Don’s-Hilltop-Kodiak-Grill-Boise
6,Old Time Favorites,La Camoronera Restaurant and Fish Market,Miami,Florida,La-Camoronera-Restaurant-and-Fish-Market-Miami
6,Comfort Cookin’,Dottie’s True Blue Cafe,San Francisco,California,Dottie’s-True-Blue-Cafe-San-Francisco
6,Comfort Cookin’,Over Easy,Phoenix,Arizona,Over-Easy-Phoenix
6,Comfort Cookin’,Comet Cafe,Milwaukee,Wisconsin,Comet-Cafe-Milwaukee
6,Mama’s Cookin’,Polka Restaurant and Catering,Los Angeles,California,Polka-Restaurant-and-Catering-Los-Angeles
6,Mama’s Cookin’,Avila’s Cafe,Dallas,Texas,Avila’s-Cafe-Dallas
6,Mama’s Cookin’,Mama Es,Oklahoma City,07/27/09,Mama-Es-Oklahoma-City
7,Upper Crust,Bunk Sandwiches,Portland,Oregon,Bunk-Sandwiches-Portland
7,Upper Crust,Sonny’s Famous Steak Hogies,Hollywood,Florida,Sonny’s-Famous-Steak-Hogies-Hollywood
7,Upper Crust,The Depot American Diner,Chicago,Illinois,The-Depot-American-Diner-Chicago
7,"""Burgers"," Tacos and Dogs*""",Lankford Grocery,Houston,"-Tacos-and-Dogs*""-Lankford-Grocery"
7,"""Burgers"," Tacos and Dogs*""",Fab Hot Dogs,Reseda,"-Tacos-and-Dogs*""-Fab-Hot-Dogs"
7,"""Burgers"," Tacos and Dogs*""",Cempazuchi,Milwaukee,"-Tacos-and-Dogs*""-Cempazuchi"
7,Name That Cook,Rick’s Press Room and Grill,Meridian,Idaho,Rick’s-Press-Room-and-Grill-Meridian
7,Name That Cook,Nic’s Grill,Oklahoma City,Oklahoma,Nic’s-Grill-Oklahoma-City
7,Name That Cook,Pam’s Kitchen,Seattle,Washington,Pam’s-Kitchen-Seattle
7,Global Grub,Prince Lebanese Grill,Arlington,Texas,Prince-Lebanese-Grill-Arlington
7,Global Grub,Tre Kronor,Chicago,Illinois,Tre-Kronor-Chicago
7,Global Grub,La Texanita,Santa Rosa,California,La-Texanita-Santa-Rosa
7,Only At This Joint,Podnah’s Pit Barbeque,Portland,Oregon,Podnah’s-Pit-Barbeque-Portland
7,Only At This Joint,Donnie Mac’s Trailer Park Cuisine,Boise,Idaho,Donnie-Mac’s-Trailer-Park-Cuisine-Boise
7,Only At This Joint,Whale’s Rib,Deerfield Beach,Florida,Whale’s-Rib-Deerfield-Beach
7,You Picked ‘Em,Eischen’s Bar and Grill,Okarche,Oklahoma,Eischen’s-Bar-and-Grill-Okarche
7,You Picked ‘Em,Mom’s Tamales,Los Angeles,California,Mom’s-Tamales-Los-Angeles
7,You Picked ‘Em,Kenny and Ziggy’s,Houston,Texas,Kenny-and-Ziggy’s-Houston
7,You Can Say That Again,Tap Tap Haitian Restaurant,Miami Beach,Florida,Tap-Tap-Haitian-Restaurant-Miami-Beach
7,You Can Say That Again,Pok Pok,Portland,Oregon,Pok-Pok-Portland
7,You Can Say That Again,Niko Niko’s,Houston,Texas,Niko-Niko’s-Houston
7,"""Barbequed"," Baked and Brined*""",Honky Tonk BBQ,Chicago,"-Baked-and-Brined*""-Honky-Tonk-BBQ"
7,"""Barbequed"," Baked and Brined*""",Pizzalchik,Boise,"-Baked-and-Brined*""-Pizzalchik"
7,"""Barbequed"," Baked and Brined*""",Lucky’s Café,Cleveland,"-Baked-and-Brined*""-Lucky’s-Café"
