Season,Show Title,Resturant,City,State,Business ID,Rating,Error
1,House Specials,Voulas Offshore Cafe,Seattle,Washington,Voulas-Offshore-Cafe-Seattle,4,420
1,Retro,Southside Soda Shop and Diner,Goshen,Indiana,South-side-Soda-Shop-Goshen-2,4,50
1,Retro,Taylors Automatic Refresher,Saint Helena,California,Taylors-Automatic-Refresher-Saint-Helena,4,1229
1,Retro,Byways Cafe,Portland,Oregon,Byways-Cafe-Portland,4,402
1,Worth the Trip,Big Star Diner,Bainbridge Island,Washington,Big-Star-Diner-Bainbridge-Island,3.5,108
1,Worth the Trip,Harolds Cafe,Gaffney,South Carolina,Harolds-Restaurant-Gaffney,2.5,19
1,Worth the Trip,Mo Gridders BBQ,Bronx,New York,MoGridders-BBQ-Bronx,3,34
1,Diners A-Plenty,Kellys Diner,Somerville,Massachusetts,Kellys-Diner-Somerville,4,173
1,Diners A-Plenty,Bay Way Diner,Linden,New Jersey,Bayway-Diner-Linden,3,9
1,Diners A-Plenty,Beacon Drive-In,Spartanburg,South Carolina,Beacon-Drive-In-Spartanburg,3,122
1,American Cookin,Rosies Diner,Rockford,Michigan,Rosies-Diner-Rockford,3,23
1,American Cookin,Dari-ette Drive-In,Saint Paul,Minnesota,Dari-ette-Drive-In-Saint-Paul,3.5,51
1,American Cookin,The Russian River Pub,Forestville,California,Russian-River-Pub-Forestville,4.5,118
1,American Cookin,Als Breakfast,Minneapolis,Minnesota,Als-Breakfast-Minneapolis,4.5,309
2,Totally Fried,Falafels Drive-In,San Jose,California,Falafels-Drive-In-San-Jose,4,3404
2,Totally Fried,Ramona Cafe,Ramona,California,Ramona-Cafe-Ramona-2,3,146
2,Totally Fried,Silk City Diner,Philadelphia,Pennsylvania,Silk-City-Diner-And-Lounge-Philadelphia,4,557
2,Route 66,Emma Jeans Holland Burger Cafe,Victorville,California,Emma-Jeans-Holland-Burger-Cafe-Victorville,4.5,170
2,Route 66,The Rock Cafe,Stroud,Oklahoma,Rock-Cafe-Stroud,3.5,52
2,Route 66,Cafe on the Route,Baxter Springs,Kansas,Cafe-on-the-Route-Baxter-Springs,4.5,17
2,Seaside Eats,Evelyns Drive-In,Tiverton,Rhode Island,Evelyns-Drive-In-Tiverton,3,87
2,Seaside Eats,Hodads,Ocean Beach,California,Hodads-Ocean-Beach,4,3962
2,Seaside Eats,Keegans Seafood Grille,Indian Rocks Beach,Florida,Keegans-Seafood-Grille-Indian-Rocks-Beach,4,250
2,Local Flavor,Clantons Cafe,Vinita,Oklahoma,Clantons-Cafe-Vinita,4,41
2,Local Flavor,Mikes Chili Parlor,Seattle,Washington,Mikes-Chili-Parlor-Seattle,3.5,222
2,Local Flavor,Duartes Tavern,Pescadero,California,Duartes-Tavern-Pescadero,3.5,828
2,Viewers Choice,Bobbys Hawaiian Style Restaurant,Everett,Washington,Bobbys-Hawaiian-Style-Restaurant-Everett,Closed,Error
2,Viewers Choice,Ted Peters Famous Smoked Fish,South Pasadena,Florida,Ted-Peters-Famous-Smoked-Fish-South-Pasadena,4,152
2,Viewers Choice,Psycho Suzies Motor Lounge,Minneapolis,Minnesota,Psycho-Suzies-Motor-Lounge-Minneapolis-2,3.5,Error
2,Real Deal BBQ,Jay Bees Bar-B-Que,Gardena,California,Jay-Bees-Bar-B-Q-Gardena-3,3.5,318
2,Real Deal BBQ,Smoque,Chicago,Illinois,Smoque-Chicago,4.5,39
2,Real Deal BBQ,BBQ Shack,Paola,Kansas,The-BBQ-Shack-Paola,3.5,12
2,Talkin Turkey,Mikes City Diner,Boston,Massachusetts,Mikes-City-Diner-Boston,4,369
2,Talkin Turkey,Willie Birds Restaurant,Santa Rosa,California,Willie-Birds-Restaurant-Santa-Rosa,3.5,145
2,Talkin Turkey,Alpine Steakhouse,Sarasota,Florida,Alpine-Steakhouse-Sarasota,3.5,46
2,One of a Kind,JT Farnhams Seafood and Grill,Essex,Massachusetts,JT-Farnhams-Essex-2,3.5,161
2,One of a Kind,Joes Gizzard City,Potterville,Michigan,Joes-Gizzard-City-Potterville,3,49
2,One of a Kind,Grubstake Diner,San Francisco,California,Grubstake-San-Francisco,3.5,893
2,One of a Kind,Los Tapatios,San Jose,California,Los-Tapatios-San-Jose,3,7
2,Family Owned,El Indio,San Diego,California,El-Indio-San-Diego,3.5,998
2,Family Owned,Charlies Diner,Spencer,Massachusetts,Charlies-Diner-Spencer,3.5,23
2,Family Owned,Paradise Pup,Des Plaines,Illinois,Paradise-Pup-Des-Plaines,4.5,503
2,Open 24/7,Studio Diner,San Diego,California,Studio-Diner-San-Diego,3.5,1222
